comments,date
We have been using samsung phones seens 1st note and now im rocking the note 10 plus...we r in dubai so we are getting exynos chipsets and its really hard seeing paying as much and getting an inferior device so I think this year as chinese brands like oppo and xiaomi are even using snapdragon chipsets and getting very good...Im ready to say farewell to samsung now...,2020-04-03T16:58:19.000Z
Samsung the best 💙,2020-04-03T15:09:07.000Z
Sulit to,2020-04-03T15:08:34.000Z
Best mobil,2020-04-03T11:49:34.000Z
"Samsung is making very less SAR smartphones nowadays is good but when we come to 5g part, they become high it&#39;s dangerous to 🐦 birds.  So, we could save it. Do better in 4g Volte Comm.",2020-04-03T08:40:09.000Z
Samsung phones always have network problem and samsung has never resolved this issue!  Very disaapointed with samsung. Will never buy samsung phone in future🙏🙏🙏,2020-04-03T08:05:18.000Z
Please make &quot;m series&quot; smartphone better than before in 2020 mid,2020-04-03T07:58:34.000Z
I love bezzal less,2020-04-03T07:12:54.000Z
more people would buy this phone if it were not overpriced,2020-04-03T03:02:45.000Z
"Galaxy phones are the best. However, especially the color options of s20 ultra and galaxy tab s6 are not good for me,  Sorry Samsung",2020-04-02T23:13:55.000Z
My computer doesn&#39;t work and doesn&#39;t let me go to a app,2020-04-02T16:09:38.000Z
Samsung finally built a camera that has a phone :),2020-04-02T15:01:43.000Z
Why Samsung does not make its own applications like another company did and does not depend on the services of other companies.,2020-04-02T12:32:39.000Z
Bring back the headphone jack and I might actually upgrade from an s9,2020-04-02T01:34:08.000Z
Sasmung pls a iris pack in fortnite i have a samsung s10 and i dont hav the iris pack,2020-04-02T00:28:06.000Z
What about games?,2020-04-01T17:15:05.000Z
Im love s gs20 ultra.its a very2 awesome ...🏅🏅🏅🏅🏅,2020-04-01T16:30:43.000Z
Where is the 9 versions of the s series,2020-04-01T15:17:22.000Z
my mom&#39;s name is also Jennifer,2020-04-01T12:52:58.000Z
This is the samsung best smart phone? Is s20 ultra better then note 10 plus ?,2020-04-01T05:34:37.000Z
🤩😍😍😍😍😍😍me enamore de ese celular,2020-04-01T00:28:40.000Z
🤢🤢🤮🤮,2020-03-31T23:25:44.000Z
Cool.,2020-03-31T23:06:00.000Z
"If this world have a Odyssey phone, I think that phone is gonna be a cool phone.......",2020-03-31T22:26:17.000Z
iPhone 11 is better,2020-03-31T19:33:14.000Z
SHİTSUNG,2020-03-31T16:17:04.000Z
😍😍,2020-03-31T15:39:21.000Z
La CASA de papel,2020-03-31T10:50:58.000Z
Me: &quot;watches on S10&quot;<br />My S10: &quot;watches me nervously&quot;,2020-03-31T05:15:47.000Z
Please keep supporting the note 9 at least until we get it paid off. That phone was still a thousand bucks. I know that phone sales are down. Along with product development focus on customer service.,2020-03-31T03:36:20.000Z
People who use apple in 2013: ew Samsung&#39;s are discusting and their camera&#39;s are terrible<br /><br /><br />Apple users after the s8 s9 Exetra was released: ...........hehe we&#39;re still better we have more use- nevermind,2020-03-30T23:54:47.000Z
I wish samsung,2020-03-30T20:18:11.000Z
Your samsung company made<br /> from sola chagring camera phones,2020-03-30T18:18:22.000Z
Ese S20 necesita mejoras en el zoom las fotografías se degradan mucho y la batería no da lo que debe de dar al usar los 120hz ojala en el note 11 o note 20 arreglen mucho eso eeh pues los venden carísimos y no da con el precio 😊😊💖 soy full Samsung 😚😚❤,2020-03-30T17:26:10.000Z
"I now own a Samsung Note 3, but your new phone is very expensive and I can&#39;t get it 😢😢😢",2020-03-30T16:43:12.000Z
"I love you, Samsung. I can&#39;t do without the best company ever",2020-03-30T16:41:29.000Z
"Samsung Galaxy S20 Ultra need to be impressive 😏😷 - <a href=""https://youtu.be/SXkHS2dSzWA"">https://youtu.be/SXkHS2dSzWA</a>",2020-03-30T14:56:38.000Z
Samsung dalbaeb<br />Why did they cramp ads<br />When l play a game that is not advertised<br />And here advertisement!!!<br />Advertising infuriates!,2020-03-30T13:20:07.000Z
don&#39;t fun you samsung,2020-03-30T12:38:27.000Z
"FACT : if you rub the S20 Ultra , four times really hard it expands to the Samsung Wall MicroLED TV a whopping 292 inches !",2020-03-30T10:11:08.000Z
actually i don&#39;t have money to buy this money .so if you can donate me then i will accept it whole heartedly. thank you please like and help me,2020-03-30T09:32:13.000Z
Can i detect corona virus with this phone?,2020-03-30T02:59:30.000Z
"Samsung I really wanted a cell phone of yours, I want to change my cell source so much that mine does not have this option and it is my dream I use the Motorola G5 cell phone and hopefully one day I will have a cell phone and if you are a friend of Motorola please tell him to put the option &quot;Font Style&quot; please let my dream come true 😭😭🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",2020-03-29T22:40:01.000Z
Sorry Samsung but I still use iphone in 2020,2020-03-29T21:26:46.000Z
Samsung a50 need update<br />Because we need wifi qr code making option 🙂,2020-03-29T20:27:56.000Z
Only brand with names and design. Performance are too bad. Better buy iphone. The samsung phones are expensive with low performance and apple are expensive but performance is too good. So go for apple.,2020-03-29T18:21:03.000Z
Samsung s20 ultra:<br /><br />⬛️⬛️⬜️<br />⬛️⬛️⬜️<br />⬛️⬛️⬜️<br />⬜️⬜️⬜️<br />⬜️⬜️⬜️,2020-03-29T16:43:52.000Z
I lovet😍😍🥰,2020-03-29T13:07:55.000Z
hi bro !!! I have been following your channels for a long time I like your activity I am also a beginner blogger I want to start in the direction of Europe you can help me a little just tell my friends about me and signed up I will be very grateful to you for that,2020-03-29T12:20:56.000Z
A41 galaxy,2020-03-29T11:53:55.000Z
هو نزل في الاسواق او في مصر ولا لسة,2020-03-29T10:57:51.000Z
Hey thanks Samsung you changed to my life I am now with  3G Smartphone I am thankful of you..,2020-03-29T05:18:17.000Z
"How much does this phone is? I will buy this,<br /><br /><br /><br /><br /><br />50 yrs from now if it still exists.",2020-03-29T05:16:47.000Z
Samsung👎🖕  Apple👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,2020-03-29T00:13:38.000Z
"I have a lot of Samsung devices, but I will not buy any Samsung device  anymore. I&#39;m too tired about your aggressive, invasive, and unrespectful  marketing campaigns . Today you have put another as in the home bar of my QLED TV (a Disney wathever)  without my permission  and without the possibility  to remove it in any imaginable way. Goodby Samsung, I had enough.",2020-03-28T21:14:30.000Z
Is this a camera or a phone trailer ?,2020-03-28T17:44:14.000Z
"Too bad that Samsung devices in Europe comes with the Samsung exynos processor not Qualcomm snapdragon like in USA and in some other region, exynos is slow compared to snapdragon and gets hot while playing mobile games and the battery life is shorter than the snapdragon processors.",2020-03-28T16:18:53.000Z
"Basta, Samsung. No ves que soy pobre? ):",2020-03-28T15:57:11.000Z
انا طالبة في الصف الثاني الثانوي  التبلت المدرسي  يوجد زرين مش شغالين  ماذا عليا ان افعل  والي اين اتوجه .,2020-03-28T14:58:27.000Z
where are those series called indigenous,2020-03-28T14:05:55.000Z
Samsung when you going bring some powerful phone like no other.,2020-03-28T10:12:07.000Z
"Compared to Samsung ,Apple is way back in the stone age.",2020-03-28T08:21:46.000Z
Samsu porfavor saquen una nuva vercion el a51,2020-03-28T05:51:44.000Z
"iPhone: We rule the world our phones are the greatest <br /><br />Samsung: Bring some water for me <br /><br />iPhone: Yes, Master on my way",2020-03-27T20:51:52.000Z
😦😱🤯❤👍,2020-03-27T13:21:57.000Z
Flop. Made NO NOISE. no matter how crazy the phone and it&#39;s specs are. In people minds - iPhone is always the one. I will be happy owning a 6s than this.,2020-03-27T11:01:11.000Z
"Why making a phone that having 2 type of processor,and the price are not worthy",2020-03-27T07:46:16.000Z
I waiting for Note 20 ultra......,2020-03-27T07:24:40.000Z
"Because I&#39;m replying on one of your devices and I love your phones so can you send me your S20 please so I can make a video please Samsung please I love you phones,tablets,air conditioner please send me the S20 please and thank you",2020-03-27T02:00:15.000Z
Hay Samsung Can you please send me the S20 so I can review it on my YouTube channel,2020-03-27T01:54:52.000Z
Exynos is a legitimate scam by Samsung designed to profit on the lack of knowledge of the average user. Change my mind.,2020-03-26T16:43:31.000Z
"I always upgrade my phone as i find some interesting new technologies. I had the S8 of cors as it released, the S10, and now the S20 ultra, really I got disappointed following Samsung, the satisfaction isn&#39;t as i expected, the battery isn&#39;t for whole day, the device get heated while charging or apps, and using the 120 refresh rate drains the battery.<br /><br />I didn&#39;t know the difference between snapdragon &amp; Exynos, and in my region i get Exynos processor, thats so bad Samsung, it&#39;s like cheating...<br /><br />The last Samsung device i will be using is this S20, I should have waited for some more and go for the Huawei P40, very disappointing!",2020-03-26T15:21:36.000Z
"I&#39;m a fan of samsung and use only android, but again the curved edges of the screen and the smartphone is not compact. I will not buy, I&#39;ll wait until something is better.",2020-03-26T15:14:30.000Z
1: nice phone<br />2: nice camera<br />3: beautiful phone <br />4: 5g!!!!<br />5: I wanna buy it!!!<br /><br /><br /><br /><br />6: don&#39;t have money ☹️☹️☹️. Too expensive.,2020-03-26T14:06:57.000Z
Like iPhone 11 Pro intro.....,2020-03-26T13:20:44.000Z
نتمنا يكون عندي,2020-03-26T11:39:18.000Z
شنو سعره,2020-03-26T11:14:50.000Z
Dear Samsung. Why priced the phone at $1500 if you gonna lower anyway. It’s less than 2 weeks in the market and already drop to $200 off discount.,2020-03-26T07:22:34.000Z
"And yet, it&#39;s still more expensive than ever whilst being the third placer in the best camera on a smartphone according to MKBHD.",2020-03-26T07:09:02.000Z
"This phone is nothing special, there is no reason to upgrade. Thats ridicilous how Samsung just has one topic for the phone: The camera with a 100x Zoom, that you will propably never use.<br /><br />8k? Bruh, 99% of my friends dont even own a 4k TV, and im from Germany.. 8k is great in 3-5 years, otherwise its complete useless too.<br /><br />The only good thing is the battery, which has improved.<br /><br />For S10 user there is no reason to upgrade. I like the phone, but its way too expensive if you compare it with the S10.",2020-03-26T05:42:13.000Z
hey:<br />S11 2021 Cooming soon,2020-03-26T02:50:53.000Z
2020:your camera has a phone<br />2100:your phone has a camera with a telescope built in it<br />2102:your brain has a phone,2020-03-26T00:45:21.000Z
Kpop,2020-03-25T23:58:44.000Z
Samsung : releases s20<br />S11 s12 s13 s14 s15 s16 s17 s18 s 19 :Am I a joke to you,2020-03-25T19:00:12.000Z
Arruma o bug do 360,2020-03-25T18:30:20.000Z
iPhone 💪💪💪💪💪💪💪,2020-03-25T17:57:15.000Z
"Salut je m&#39;appelle lamine et je suis votre plus grand fan, je vie en République démocratique du Congo-Kinshasa, votre technologie est si puissante et futuriste sa offrent aux gens beaucoup d&#39;opportunités mais cette chance n&#39;est pas donné à beaucoup de gens je voudrais faire découvrir cette technologie aux gens de mon pays se pour cela je vous écris aujourd&#39;hui parce que ici en Afrique Centrale et partout d&#39;ailleurs Afrique entière il y a des des avec des potentiels énormes qui manquent seulement des outils et des visibilité mais moi je pense avec votre technique très innovant tout va changer.<br />Ce pour cela je souhaite des venir très agent ou communicateur.<br />Pardon répondez moi pour en savoir plus des mes idées",2020-03-25T16:23:49.000Z
"Im using a samsung s4 herebin 2020, still a greay phone",2020-03-25T16:14:11.000Z
Apple is better,2020-03-25T11:43:34.000Z
Stop third class exynos chips,2020-03-25T10:20:24.000Z
Samsung stop dividing us with exynos and snapdragon chips,2020-03-25T10:19:16.000Z
اوف يلا اريد من هاذا المبايل ما عليا 😭😭😭😭,2020-03-25T09:13:32.000Z
Yup the 1400$ phone that has worse autofocus than the Galaxy S5,2020-03-25T03:59:38.000Z
Samsung I love your phones but please stop selling us the exynos version. Till now i have was note in every 1 or 2 years  but that stops now.. i am not buying any samsung flagship with the exynos chip in it.. and other people also should not buying the exynos version. Its not worth the price,2020-03-25T02:54:36.000Z
"&quot;That means you can forget about 12 megapixels&quot;<br /><br />Apple: Wait, that&#39;s illegal",2020-03-25T01:40:23.000Z
I wish i could have that,2020-03-25T01:04:12.000Z
Ooooo pls rename the samsung exynos to samsung nosteam or somthing. Just give away the exynos version of s 20.,2020-03-24T19:25:39.000Z
"hello,quisiera tener ese telefono,pero quiero hacer una pregunta se regala o se vende",2020-03-24T17:22:09.000Z
Hi samsung please can you give away me Samsung s 20 ultra,2020-03-24T17:12:13.000Z
Why did you skip S11 to 29,2020-03-24T16:51:09.000Z
🤯,2020-03-24T16:05:52.000Z
World&#39;s most 💩 company,2020-03-24T15:40:06.000Z
The phone looks so ugly bc of the thickness tbh but other than that no hate,2020-03-24T13:42:42.000Z
Il y en a eu la rage contre Apple,2020-03-24T12:49:51.000Z
Sono l&#39;unico che parla in italiano in sto video,2020-03-24T12:07:01.000Z
I want one to review in my channel with various language. Please send it for me,2020-03-24T08:02:09.000Z
"Apple ,is Best . Apple Apple Apple is best , this is ur point of view, but although the Samsung is best mobile,s<br /><a href=""https://www.myminiurl.net/0Y5Im"">https://www.myminiurl.net/0Y5Im</a>",2020-03-24T04:49:13.000Z
"Ooh no , what is this ,u think it&#39;s a mobile ,no , it is more than a mobile,.  <a href=""https://www.myminiurl.net/RZmJI"">https://www.myminiurl.net/RZmJI</a>",2020-03-24T04:24:54.000Z
Actually I think the more megapixels the more space it takes from storage,2020-03-23T20:34:52.000Z
Who else thinks Samsung copies apple?,2020-03-23T20:32:49.000Z
Samsung is loosing customers like me for putting exynos chipset rather than snapdragon..........@samsung u should look this sight carefully.,2020-03-23T17:48:41.000Z
"Samsung is trash. I hate it, because my S 20 ultra was trashed who I opened the box. My iPhone 5 is still good. I have now an iPhone XR it’s better, and this Software I tell you.",2020-03-23T16:07:16.000Z
When samsung note 20 is coming,2020-03-23T14:25:18.000Z
Maybe samsung got jealous when it saw iPhone 11 had 3 cameras,2020-03-23T14:07:39.000Z
What&#39;s the price of this phone???,2020-03-23T11:34:57.000Z
Monster.,2020-03-23T07:02:37.000Z
Snapdragon ngon Exynosquá tệ,2020-03-23T05:10:24.000Z
Apple:- puts a stove in its flagship iPhone<br />Samsung:-hold my beer<br /><br /><br />2020<br />Samsung:-puts a whole kitchen in the s20 ultra back,2020-03-23T02:43:59.000Z
WE DON&#39;T WANT SAMSUNG!,2020-03-23T00:44:05.000Z
By the way I love this phone 😍😂😍❤️,2020-03-22T23:53:20.000Z
Hey I will like to know Wich on is better the A series or S series please answer,2020-03-22T23:53:01.000Z
Samsung why are you keep insisting on having Exynos on your phones? I won&#39;t be buying anymore Samsung phone.,2020-03-22T15:14:10.000Z
I think these people used the s20 ultra to make this Ad,2020-03-22T15:02:36.000Z
Very bad I like vivo,2020-03-22T14:04:26.000Z
<b>iPhone 11 Pro</b> left chat,2020-03-22T12:12:55.000Z
Please give me 1 phone for samsung please,2020-03-22T10:27:04.000Z
Have we come to the point where phone introductions are camera ads?,2020-03-22T07:08:22.000Z
Samsung plz gift me a phone i really need one i m frm nepal plz,2020-03-22T05:35:03.000Z
"Hi.. I&#39;&#39;ve been a samsung user since Galaxy S4. My last device was a Galaxy Noye 8. I recently bought a Galaxy S20 Ultra as I was amazed by the camera features. I had a very high expectation of the device since I am very satisfied with my Galaxy Note 8. However, after spending some time with my Galaxy S20 Ultra, I felt that the camera did not live up to my expectation. It is great especially outdoors and the sun is shining so bright. The night mode also is very good and can make the photo look great. However, the cameras performance indoors and with people in it, was terrible. My 3 year old note 8 takes better photos of people. I am very disappointed with how the software process peoples skin. And also the autofocus sucks. To tell you honestly, the phone is great overall but its most hyped feature did fail us. If I can only return the phone and exchange it with another one. I would. If you could do something about the camera performance with software updates then it might change my opinion about the device.",2020-03-22T04:39:00.000Z
Why don&#39;t you give me one,2020-03-21T23:32:05.000Z
Bottom is for spanish<br /><br />👇🏼,2020-03-21T23:21:35.000Z
"<a href=""https://www.youtube.com/watch?v=7G6K99cSRv8"">https://www.youtube.com/watch?v=7G6K99cSRv8</a>   See what happen to my S20 when I drop it 1000 feet. 😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😴😴😴",2020-03-21T23:14:36.000Z
"Dear Samsung , i`ve been buying your smartphones since 2010, all galaxy models and all note models. i`m a bit dissapointed about Galaxy S20 ultra, my last device. the 5000 battery doesn`t last so long, the cameras on the back are a bit ugly and please, in the future stop using Exynos processors on your smartphones. The Snapdragon processor is much better. Why do you complicate things with Exynos when you can use only Snapdragon ? Best regards !",2020-03-21T23:04:06.000Z
"I wanna get a <a href=""http://www.youtube.com/results?search_query=%23samsunggalaxynote20"">#samsunggalaxynote20</a><br /><br /><br />İ-in waan getan <a href=""http://www.youtube.com/results?search_query=%23samsunggalaxynote20"">#samsunggalaxynote20</a>",2020-03-21T19:25:28.000Z
samsung 👎👎👎👎we want SD Prosser in india too.. and all the device should be same..<br />we feel cheated..,2020-03-21T17:11:06.000Z
Alright very cool it&#39;s another phone I can&#39;t afford so ya can stop putting this ad before my videos,2020-03-21T17:02:31.000Z
"All Samsung&#39;s premium phones are worthless.  Because I have been using Note Nine for the last 1 year.And neither my phone is dropped nor broken even then I am facing screen problem which automatically turns yellow and blurred.The Samsung service center is asking ₹ 17000 to replace it.this problem is mostly in everyone&#39;s note 9 mobile but Samsung did not take any action on it. What would Samsung want to answer on this, that even after buying such an expensive phone, 1 year did not work properly.",2020-03-21T16:53:29.000Z
Please don&#39;t make the upcoming galaxy note 20 different shape give it as it is like the note 10,2020-03-21T16:48:15.000Z
Camera monster,2020-03-21T14:55:35.000Z
Excellent got to improve you compeny,2020-03-21T13:23:10.000Z
😔,2020-03-21T11:59:35.000Z
UNBOX1ULTRA,2020-03-21T06:55:20.000Z
S20 ULTRA CAMERA AF IS TRASH . NEED RECALL PRODUCT,2020-03-21T04:01:58.000Z
Samsung Galaxy Tab 20 ultra lol with a pen and 325 camera(jklol) but still tablet?,2020-03-21T01:54:43.000Z
Saat kamu datang ke konser dan mendapat tempat terjauh maka rekamlah menggunakan hp ini😄,2020-03-21T01:24:03.000Z
Woow,2020-03-20T18:33:12.000Z
Yaha koi indian milega kya jo hindi me comments kare 😆😆😂😂😂😂 sare angrej bhare pare he,2020-03-20T18:10:01.000Z
"<a href=""https://www.youtube.com/watch?v=x0Kv_QRWR-I&amp;t=1m13s"">1:13</a> you spelled (not on s20) wrong<br />It should be on Iphone😂",2020-03-20T17:21:52.000Z
Samsung mándame un regalo por favor,2020-03-20T15:47:23.000Z
"whats that song on the most recent ad for this device? its sung by this girl , goes like “uh oh oh oh, come a little bit closer” it was on spotify",2020-03-20T14:59:54.000Z
