,brand,created_at,favorite_count,id,retweet_count,source,text,user_created_at,user_followers_count,user_friends_count,user_id,user_name,user_screen_name,sentiment
100,0,2020-04-09 02:22:13,2,1248073701850927104,0,Twitter for Android,@LEOTJYoung snapped this with my samsung 6 phone... no filter just right place at just the right time https://t.co/rg8ttTNF3q,2016-02-06 13:43:11,145,320,4881610360,DeWi,Dewidogs,-0.296
109,0,2020-04-09 02:14:03,0,1248071648684711942,0,Twitter for Android,@momorrings cries in samsung-,2019-05-06 18:01:56,138,663,1125460701651329025,sᴜsᴀɴᴀx⁷🇨🇱,Su7sanax,-0.4019
114,0,2020-04-09 02:11:56,0,1248071113432678402,0,Twitter for Android,"@JamieAllingham1 @en_sota @CarmenS13729548 @UKChange Also contact Kia , Samsung , Hyundai and any other Asian manaf… https://t.co/hcMSzGNtI1",2019-05-12 19:52:41,157,482,1127662902368804864,RGH,HortaRob,-0.6369
122,0,2020-04-09 02:07:09,0,1248069911374692358,1,Twitter for Android,@changed_gear @michaelgove   Not clear how your notion of being an independent nation (still in transition period)… https://t.co/KmfVaJzIWz,2010-11-13 06:35:36,279,473,215186773,Bert Pollheimer,bhp1905,-0.2924
123,0,2020-04-09 02:06:52,0,1248069839094046720,0,Twitter for Android,"@SamsungMobile 1.8 gb update package?? Seriously!?
Samsung seems to have lost the plot. Still package useless canno… https://t.co/Q4zcGr18Xs",2019-04-27 03:32:34,6,112,1121980430712840192,how's the weather on your planet?,Alex72385784,-0.7124
130,0,2020-04-09 02:05:48,1,1248069573527523329,0,Twitter for Android,"@oneplus #OnePlus8Series My favourite part about the @OnePlus is NEVER SETTLE, YES d company creates the products w… https://t.co/rpxSDsW1n5",2020-04-05 02:55:45,1,65,1246632534789799936,Ali Zameel P,AliZameelP,-0.178
131,0,2020-04-09 02:05:43,0,1248069550349967360,0,Twitter for iPhone,"@jmwilt17 There is no competition tho, not in the flagship arena. Samsung is dominating that market. That’s my poin… https://t.co/FK3vFcVhll",2009-10-22 06:04:56,261,820,84254542,Teejay1100///,TeeJaye1100,-0.5713
133,0,2020-04-09 02:03:40,0,1248069035561869313,0,Twitter for Android,@t1ayanokoji @jayant_rohila @ashertech @MaxWinebach Samsung didn't able to optimize the UI according to the aspect ratio of galaxy fold,2020-02-14 12:29:54,10,42,1228295245122555904,Shivam Sharma,Shivamking__,-0.3875
135,0,2020-04-09 02:00:57,0,1248068349231169536,0,Twitter for Android,"@KevinHague This is *serious*. Watch out for further symptoms of #LockhomeSyndrome
We suspected it had reached our… https://t.co/tz2RRfo5G9",2009-03-19 11:10:24,1020,1619,25270260,Brian Dixon,BrianBoruNZ,-0.128
142,0,2020-04-09 01:58:37,0,1248067764100542467,0,Twitter for Android,"@undrtakr900 @ZachheadCrack @todd_cantrall @RealMrBlue @Durandal93 @Xbox I say 1080p60 no problems, because i actua… https://t.co/3ouiTPfVrB",2015-02-02 03:40:58,228,74,3007442328,TheSamuraiDino 私は恐竜です,TheSamuraiDino,-0.5994
147,0,2020-04-09 01:53:49,0,1248066553872027649,0,Twitter for Android,@nick_the_quick0 @pxm__ My Samsung Note cost more than your stolen shopping cart you use as a microwave stand (and… https://t.co/7s1wmcOkJk,2012-08-29 01:38:06,73,128,788266476,Brick💲,_wrecklessRed_,-0.5367
156,0,2020-04-09 01:47:11,0,1248064885348388864,0,Twitter for Android,"@PokemonGoApp @NianticHelp how about us samsung s20 users, we can't play and until now it hasn't been fixed",2009-08-18 02:52:39,436,250,66575626,Amran Ardiansyah,amrand29,-0.2584
173,0,2020-04-09 01:37:18,0,1248062397157384195,0,Twitter for Android,@briankrebs It's pushed me to using Samsung pay more often,2018-11-29 02:41:46,9,101,1067971851740241920,Julien Croy,jcroy_256,-0.1027
180,0,2020-04-09 01:32:00,0,1248061064253788160,0,Twitter for iPhone,@SamsungSupport @Samsung the worst product ever! My washing machine is less than 1 yr old and Samsung doesn’t stand… https://t.co/9wSm71xXav,2018-04-30 07:15:49,44,113,990852205669478400,katiebrynn,katiebrynn1,-0.6588
181,0,2020-04-09 01:31:43,0,1248060994049335296,0,Twitter for Android,"@MaxWinebach Samsung A70 user here, I also got the same problem, they made a nano adjustment at the side of my scre… https://t.co/WM9sIwA8cU",2019-09-27 12:49:04,32,81,1177565783636922368,Aiz,aizanches,-0.4019
182,0,2020-04-09 01:30:17,2,1248060633981038592,0,Twitter for Android,@DirtyTesla @TeslaTested I had a Samsung USB flash drive die   after 2ish months in the tesla also. but I'm not as… https://t.co/vE403M94sb,2011-03-31 17:30:13,280,498,275121710,crazypostman,crazypostman,-0.3506
191,0,2020-04-09 01:23:49,1,1248059006079418375,0,Twitter for Android,"@MaxWinebach The s20 is already up to $200 off, making it cheaper than the OnePlus 8. That's a no brainier to go wi… https://t.co/F8AryGVXu4",2020-02-04 00:54:59,449,401,1224496494574735360,Jason Wiltjer,jmwilt17,-0.296
201,0,2020-04-09 01:16:04,1,1248057054800961536,0,Twitter for Android,@Blufox_ @UniverseIce my S10e too..caused from March update..there are many complaints about yellowish display in t… https://t.co/VcOuH4YrIs,2013-05-03 01:46:49,25,70,1398600530,Haskell J.™ ©2013,145621796,-0.4019
202,0,2020-04-09 01:13:44,0,1248056466684219401,0,Twitter Web App,@TalibKweli @Chicagoway_ It says tweet unavailable. And no I'm on my phone which is not that big is just a small Sa… https://t.co/SzK34dY6Z9,2015-07-25 21:02:34,124,433,3293658835,SIMBA,Simbausa,-0.296
212,0,2020-04-09 01:07:14,0,1248054832688062464,0,Twitter for Android,"@Steamgoth If we get out of isolation I'll do it for the company. I'm going a bit peculiar, I fear.

Price was for… https://t.co/pZfkhGeRyI",2009-05-12 22:20:13,207,241,39612234,Rincewind Avoozl,RincewindTVD,-0.6486
225,0,2020-04-09 01:03:24,0,1248053868208033794,0,Twitter for Android,@jwboyer19 Samsung? Our Samsung has a jingle of sorts but I'm an audio noob so no idea if it's midi.,2008-12-22 06:32:15,2074,639,18302437,Adam Miller,TheMaxamillion,-0.6248
226,0,2020-04-09 01:03:14,0,1248053827414228992,0,Twitter for Android,@Samsung_Pak who da fuck are these little marshmallows?,2019-03-18 08:29:55,2,61,1107559746666672128,Ozair Khan,oziee67,-0.5423
230,0,2020-04-09 01:01:55,0,1248053494050766848,0,Twitter Web App,"@chromeunboxed Darn, that's too bad about the power hungry beauty.   Not sure what do with my next Chromebook buy t… https://t.co/EwIY87Wlef",2019-11-22 19:06:38,44,19,1197954516030611456,E.,Stoked4Good,-0.1685
233,0,2020-04-09 01:00:54,2,1248053240652009472,0,Twitter for Android,"@DirtyTesla @TeslaTested I had a Samsung fail after just four months, so I guess it can happen to any of them.",2011-03-31 17:30:13,280,498,275121710,crazypostman,crazypostman,-0.5423
234,0,2020-04-09 00:59:48,0,1248052961743421440,0,Twitter for Android,all of the laptops that are off have no hard drives or ram but will do soon. the samsung laptop has a broken screen… https://t.co/3Q97hT9u3U,2016-08-14 15:53:45,105,212,764852518862069760,riku~! 10 days 🎂,rikupone,-0.714
241,0,2020-04-09 00:53:09,1,1248051288534908928,0,Twitter Web App,"@TeslaTested They're not up to the task then, I'd say. Sentry mode seems to be really brutal for storage. Just do t… https://t.co/isVeRr23q2",2019-04-17 19:17:55,2818,198,1118594454515003393,DirtyTesla ⛄ 🐦,DirtyTesla,-0.659
246,0,2020-04-09 00:48:57,0,1248050232081780736,0,Twitter for Android,@AAEFaith @Tian_314 @nikographics @CallofDuty @CODLeague The fuck does that mean I have samsung and play console,2019-08-19 00:04:41,15,79,1163240300581552128,Raphfilo,Raphfilo,-0.2732
253,0,2020-04-09 00:40:43,0,1248048158359187456,0,Twitter for Android,"@Summerson Actually, it does. The Galaxy Tab with Samsung DeX is FAR MORE convenience than the lame iPadOS of iPad… https://t.co/rmUPxpCvP8",2013-02-02 12:29:59,0,11,1142329452,Cao Thang,itscaothang,-0.4215
255,0,2020-04-09 00:38:23,1,1248047570473156609,0,Twitter for Android,@Craig24909898 @cov_Gretchen I used to have a Samsung ... When it died I bought a different brand (Google something… https://t.co/Uwm6iUim1N,2018-01-21 23:15:15,724,741,955217255087951877,Skypegrammy⭐⭐⭐,Skypegrammy505,-0.5574
259,0,2020-04-09 00:34:30,0,1248046595570044928,0,Twitter for iPhone,@glueitself @StonerFN_ @Syn_Skelly1 @Byzic Nice Samsung hahah u poor bitch,2020-03-13 12:08:11,1,85,1238436639657152516,cheese,cheese89343222,-0.6249
271,0,2020-04-09 00:25:08,2,1248044236903034881,0,Flamingo for Android,@UniverseIce 🙄 Samsung ruined the s20 series.,2014-07-09 04:09:21,26,18,2612883972,Ayush Garg,MrAyushGarg,-0.4767
280,0,2020-04-09 00:20:37,0,1248043103052800003,0,Twitter for Android,"@thurrott @bdsams Oh God no, I Gmail and Google Calendar are awful, can't stand either on my Note9. I'd go with Sam… https://t.co/WgF7nUZ3uD",2011-02-14 23:13:58,78,428,252314185,John,Sporosarcina,-0.4767
289,0,2020-04-09 00:11:21,0,1248040770894004225,0,Twitter Web App,The Samsung technicians (plural) all said to NOT do a self-clean for 3 hrs or it will damage the oven. Well... Why… https://t.co/qO0XXjk2Ft,2009-03-19 10:55:28,3117,5002,25269118,🌊     The Engineer     🌊,XDaneelOlivaw,-0.4939
290,0,2020-04-09 00:10:09,0,1248040468920729601,0,Twitter Web App,@gerge42 @BarnsGreg #assange attempted to 'assist' companies such as apple and samsung build defences against the c… https://t.co/LjJ22ElnDv,2017-08-10 04:31:49,151,269,895502922309451777,Hans Cres Press [HMP Belmarsh Office],HansCres,-0.0516
298,0,2020-04-09 00:03:12,0,1248038719917109249,0,Twitter for iPhone,@Enziqo @gehsture it’s either Samsung or iPhone but you guys dislike both. Are you not a normal human being?,2018-01-25 19:35:18,186,93,956611455650066433,Patriox ♛,Patrioxz,-0.5267
299,0,2020-04-09 00:03:01,0,1248038671380549632,0,Twitter for Android,@elepanthou @SamsungMobile @Samsung It's worst and even Samsung officers responded like they don't even bother what… https://t.co/wUOJPtBHaD,2011-10-09 15:58:22,126,49,387741850,Ahsan Munir,Ahsan_munir125,-0.1441
302,0,2020-04-09 00:01:49,0,1248038369793212416,0,Twitter Web App,And yes I know there's more Android OEMs out there but as far as I can tell it's really hard to beat Apple &amp; Samsun… https://t.co/suELF3bVSE,2014-02-01 00:25:18,672,351,2321536963,Andrew Bennett,BennettBlogs,-0.0489
303,0,2020-04-09 00:01:32,1,1248038297877782528,0,Twitter for iPhone,@gehsture @Enziqo HOW CAN ONE NOT LIKE AN IPHONE OR SAMSUNG,2018-01-25 19:35:18,186,93,956611455650066433,Patriox ♛,Patrioxz,-0.3924
305,0,2020-04-09 00:00:32,0,1248038045548457987,0,Twitter for Android,"@nicinteges @gimbakakanda @atiku Not justifying but things depreciate over time, a Samsung S9 with a broken screen… https://t.co/Fa79g4wjme",2012-12-22 23:49:18,59,251,1029497215,LONIS,lonixx1,-0.631
315,0,2020-04-08 23:56:40,1,1248037074428743688,0,Twitter Web App,Oh cool more than just features there's really annoying bugs in here that are only fixed on the S20 because someone… https://t.co/r2Z3Siek0F,2014-02-01 00:25:18,672,351,2321536963,Andrew Bennett,BennettBlogs,-0.1761
324,0,2020-04-08 23:48:51,2,1248035104917803008,1,Twitter Web App,"@varootski @glenlissdweeds @KodaKazar @QueerXiChisme @HowieHawkins herd mentality is a scary thing, although it is… https://t.co/pmYFAVtjCP",2013-09-15 07:33:32,177,8,1866693344,Ivan,1dukes,-0.4939
325,0,2020-04-08 23:48:34,1,1248035034159710208,0,Twitter for iPhone,@utefan_42 We had nothing but problems with Samsung washer/dryer. Never saved energy or water. Had to wash for over… https://t.co/7ifDZKgHzc,2013-12-16 20:16:39,773,1041,2249258574,Ccrawesome 🏴‍☠️,ccrawesome,-0.3252
326,0,2020-04-08 23:47:59,0,1248034889695399937,0,Twitter for Android,@Samsung_Pak Seriously if I see this @BTS_twt advertisement on my TV I'm gonna buy each phone from this Galaxy S20 series,2019-03-01 13:21:15,10,70,1101472467510546432,Esha Malik,EshaMal98267613,-0.1779
328,0,2020-04-08 23:47:24,0,1248034743842635777,0,Twitter for Android,@Mr_Nyanis @1daavi Boss how am I seing twitter for samsung galaxy and not android ? Abi samsung don scam me ?,2019-02-14 08:18:06,135,228,1095960359079497730,Protect_ya_neck🌹,_Tifannnny,-0.6199
331,0,2020-04-08 23:45:34,0,1248034282523639808,0,Twitter for iPhone,"@boostersengaged personally I hate the samsung camera LOL the front facing one, anyways 

it nakes bangtan’s selfie… https://t.co/YPgcLtVn6D",2019-09-04 22:20:03,30,26,1169374568139522048,ang 🖤,polteageists,-0.0431
332,0,2020-04-08 23:45:33,0,1248034277482168321,0,Twitter for iPhone,@snapchatsupport Dark mode and battery improvments  my iphone and samsung battery just die when i open snapchat how… https://t.co/gcUXBzLpMv,2017-06-13 13:21:36,45,18,874617750664208384,Andi Qytyku,AndiQytyku23,-0.5994
334,0,2020-04-08 23:44:44,0,1248034071738867712,0,Twitter for Android,@asimo3089 Asmio on Android 10e Samsung the cars bounce and hate that please Fix that bug,2020-04-03 05:21:49,1,6,1245944479317512192,Uxi Roblox,RobloxUxi,-0.34
359,0,2020-04-08 23:30:21,1,1248030451119292416,0,Twitter for Android,"@brokenotpoor Me talking to my new phone. I feel invaded.

No I do not want to use this gazillionth Samsung feature.",2017-01-13 22:30:07,1377,1277,820035224612519938,The Teacher On Fire,teacherfire1,-0.3447
363,0,2020-04-08 23:25:28,0,1248029224075767811,0,Twitter for Android,"@Oliver_Imo @SamsungUK Stop babbling kid!
At least samsung took an actual shot, while Huawei phones came with a who… https://t.co/RYTLSQfzNi",2018-07-17 00:47:01,3,67,1019020612415746050,Condestin Clyde,ClydeCondestin,-0.3595
374,0,2020-04-08 23:17:48,3,1248027292342894593,0,Twitter Web App,Samsung's own browser is likely still your best option on this thing but its design still hurts me. Tabs below the… https://t.co/TSSwsaJnnY,2014-02-01 00:25:18,672,351,2321536963,Andrew Bennett,BennettBlogs,-0.3716
376,0,2020-04-08 23:16:49,0,1248027047227723776,0,Twitter for iPhone,@redsteakraw @HDRetrovision I’ve repaired more than one micro USB port on Samsung Galaxy smartphones. It’s a bad co… https://t.co/gxCQKIXEhV,2011-11-16 06:03:23,1747,285,413736402,Porkchop Express,MisterAddons,-0.5423
379,0,2020-04-08 23:12:16,1,1248025899209015303,0,Twitter Web App,"@Jaime_Rivera Well...when you buy a phone as expensive as that, you shouldn't have to wait for fixes to the bad thi… https://t.co/zLVqmyQrOc",2009-06-27 13:35:24,227,340,51439053,David Baptista da Silva,DBaptistaSilva,-0.5423
384,0,2020-04-08 23:09:03,2,1248025090236678144,0,Twitter for Android,"@MFrunker @teslaownersSV I occasionally have problem unlocking car when my phone is in the pocket. For example, if… https://t.co/9UwUbGafBO",2010-02-02 19:32:42,169,928,110784808,Adam Iverson,Adam_Iverson,-0.3446
390,0,2020-04-08 23:05:27,0,1248024185944911873,0,Twitter for Android,@ushna271 @bts_pk_official @Samsung_Pak @BTS_twt @bts_bighit Sadly there is no huge fan following ACTUALLY !,2019-06-30 22:24:44,17,24,1145458171550584833,KIM-LINE,KIMLINEKILLS,-0.1759
403,0,2020-04-08 23:01:22,0,1248023156700446720,0,Twitter for Android,@Samsung_Pak @bts_pk_official We want this add on TV PLEASE ! WE ARE DIE HARD FANS OF BTS ♥️ https://t.co/7iwe8s6nAU,2019-06-30 22:24:44,17,24,1145458171550584833,KIM-LINE,KIMLINEKILLS,-0.5754
411,0,2020-04-08 22:56:56,0,1248022043150475265,0,Twitter for Android,"@glosshypegirl Is it because it's not Samsung? No hate, but my Samsung auto completed yoongi all the time with no issue.",2019-07-17 06:11:23,110,334,1151373815336886273,jolindalea⁷,jolindalea,-0.0918
420,0,2020-04-08 22:53:07,1,1248021080201019394,0,Twitter Web App,"@ImmaDynamo sorry twitter broke the link, https://t.co/aADN18P5dP",2010-03-02 06:33:33,148,1307,118956991,Sakura Kangaroo,Miya902,-0.4767
421,0,2020-04-08 22:52:52,2,1248021019895488514,0,Twitter for Android,@thatskygame optimize the game on the weakest phones.  mine is a Samsung Galaxy m30 and the graphics are blurred,2018-07-12 03:48:35,4,14,1017254364745003008,Robynson,Robynso48511930,-0.0258
425,0,2020-04-08 22:51:48,1,1248020749572431872,0,Twitter Web App,@introvortix @VCashew5 @BenGeskin @oneplus These people get their hard on when hating on Apple. Look at the Samsung… https://t.co/s7GHXBt0yx,2019-11-10 22:11:37,0,7,1193652423988072448,Eonara4,Eonara4,-0.5719
426,0,2020-04-08 22:51:43,0,1248020729255333888,0,Twitter for iPhone,@brinaaquafina Anything Samsung or Apple with the lowest cost just in case they aren’t as responsible as you’d like... 😂😂😂,2013-06-26 15:53:42,3174,3156,1548481404,King Prah The Great,TheRealKingPrah,-0.0772
437,0,2020-04-08 22:46:49,0,1248019494095601664,0,Twitter for iPhone,@MiliLaff @kevyadigg @HIDOE808_DrK $300!!! That’s insane!! I bought two on two separate occasions for 2 of my 3 kid… https://t.co/LdTPGFzAsX,2009-06-15 20:17:31,40,193,47432339,_TheMarissa,_TheMarissa,-0.5951
442,0,2020-04-08 22:43:29,0,1248018656522465281,0,Twitter for Android,"@WhosCali Samsung also charges for their brand name too, thus why it might be more expensive.",2014-04-08 23:11:24,2355,556,2434548031,Wavys,Wavy7s,-0.2732
446,0,2020-04-08 22:40:47,1,1248017978286673920,0,Twitter for iPhone,@euphoriavkookie @_kathabean_ @JumBeanXX1 actually i didn’t. samsung’s just suck.,2019-03-27 21:03:10,38,88,1111010795473661952,liv♡,livy9173,-0.4404
449,0,2020-04-08 22:39:31,1,1248017660589285377,0,Twitter for Android,@ChrisDeeCreator @wydfez @yungcalc Oh no 150 dollar phone with same tech as the new model 💀 Samsung on top kid,2015-12-25 22:07:08,6,268,4651649659,a,qpHazardqp,-0.1027
451,0,2020-04-08 22:36:38,0,1248016933858840576,0,Twitter for Android,@paulgrg4 No honestly taken on my Samsung s20  no photoshop,2009-07-05 21:32:08,87,412,54013368,Paul Macfarlane,macfarlane1,-0.1027
463,0,2020-04-08 22:26:48,0,1248014456929452033,0,Twitter for Android,@gsuite  any issues happening with the new Samsung update? I am no longer able to use my work email on my phone.,2010-05-05 07:04:34,268,273,140336087,Matthew D. Miller,TheCasperOne,-0.296
470,0,2020-04-08 22:19:47,0,1248012690464706560,0,Twitter for iPhone,"iPhone. I never liked Samsung. Even when I had an android, it was LGs or nothing at all. 

I like Samsung’s TVs tho. https://t.co/0sHTd7h6Xd",2017-10-17 18:37:37,5786,3426,920358150557093889,𝕁𝕖𝕤𝕤 🧘🏽‍♀️,jess_dfm,-0.5334
474,0,2020-04-08 22:18:11,0,1248012288008716289,0,Twitter Web App,@lohiii_ iPhone. This is definitely the last Samsung I'm using. I used to be a fan but they disappointed my expectations,2017-07-11 12:56:37,1403,2055,884758325992325120,IAmYourStrategist,eddinations,-0.3919
478,0,2020-04-08 22:14:35,0,1248011383939059712,0,Twitter Web App,@lohiii_ Samsung.. no cap 😎,2012-08-20 05:22:05,173,488,768893005,Praxy,stinenjeru,-0.296
479,0,2020-04-08 22:13:28,0,1248011101653970944,0,Twitter for Android,@MaxWinebach When did Samsung use the blurry stuff? Is it limited to the Galaxy Fold and Tab only?,2019-11-09 02:19:17,90,85,1192989954839703552,Muhammad,adierahman_,-0.3939
480,0,2020-04-08 22:13:18,0,1248011058918219776,0,Twitter for Android,"@matix1000000 Samsung already cheated before, just because they weren't caught again yet doesn't mean they aren't doing it
Everybody? Where",2009-08-07 11:34:51,3188,736,63695472,Mauri QHD,MauriQHD,-0.5106
482,0,2020-04-08 22:11:26,0,1248010592868118529,0,Twitter for iPhone,@juliastechspot you wanna know how my windows goes drunk. I have a widescreen and I use it as 2 monitor (PBP mode o… https://t.co/RzO7zOGdT9,2018-09-21 09:35:07,5,132,1043071112656117761,PlainSucksAtEverything,plainstation64,-0.34
485,0,2020-04-08 22:09:57,0,1248010218144858113,0,Twitter for Android,"@jan204re @MamboFloof @LinusTech Ahh yes, I hate it when I have to unplug my Samsung TV because I can't sleep with my ear on its back",2014-10-23 14:17:52,2,99,2873449268,Kaytzo,KaytzoX,-0.25
493,0,2020-04-08 22:04:33,0,1248008857219026945,0,Twitter for iPhone,@manchestermelly The chargers are annoying. I actually went back a model to have a separate charger and earphone po… https://t.co/qy9wRDRNGO,2019-02-24 00:07:41,60,138,1099460821170692101,Smiler Lockwood,Matthew26083085,-0.4019
495,0,2020-04-08 22:03:41,7,1248008639396196353,1,Twitter Web App,"2/ Access the stream, with subtitles, via the link below or through the Met Opera on Demand apps for Apple, Amazon,… https://t.co/chSqWk2KKK",2009-03-03 23:30:43,234142,337,22699770,Metropolitan Opera,MetOpera,-0.128
508,0,2020-04-08 21:54:51,0,1248006417132302336,0,Twitter Web App,"@snapchatsupport Everytime I go to log In it keeps saying wrong email,username,password. When it's the correct user… https://t.co/jhtntz0EW2",2012-09-05 06:07:13,18,51,803970674,Josh Xo,JoshCotterxD,-0.4767
511,0,2020-04-08 21:52:37,1,1248005856685223937,0,Twitter Web App,"@ClaireMacNamee @disneyplus Amazon Fire TV
Android TV
AppleTV
Chromecast
LG TVs
Roku
Samsung
Sky Q",2011-07-17 02:36:04,887,455,336881506,Vinny Osborne 🇮🇪,VinnyOsborne,-0.1779
516,0,2020-04-08 21:51:47,1,1248005644239556610,0,Twitter Web App,"@Turnip2020 0        Trump has handled this horrific virus,being the only reason he is a pandemic nut job,obsessed… https://t.co/7Y8mmwQObV",2009-06-25 19:38:00,1132,1723,50744595,John,jonoriver51,-0.7391
519,0,2020-04-08 21:50:49,0,1248005403830390784,0,Twitter for Android,@kodaktokyo Samsung music will organize it for me. No fear 😂😂,2019-10-26 17:13:33,562,298,1188141592525365257,Tomisin,Tomisin3k,-0.6597
524,0,2020-04-08 21:49:34,0,1248005090146783232,0,Twitter for Android,@Samsung why does your device file transfer SUCK SO BAD?? Even @Apple auto exported notes to @gmail. Wtf.,2019-01-05 23:56:47,5,65,1081701071851012096,data usage warning,mr_sure_why_not,-0.9331
529,0,2020-04-08 21:46:43,0,1248004369389248512,0,Twitter for Android,@GrabsterTV @uhNickz @imveethis @it_meirl_bot lad i have more problems to think about than a phone sitting around d… https://t.co/MW0poE7xXT,2018-08-15 05:44:41,35,76,1029604772926476288,fungus supplier,faudanku,-0.4576
530,0,2020-04-08 21:46:00,0,1248004191475265536,0,Twitter for Android,@SRTJones @Samsung Telekom is worse. You only use 30% of your data before it expires due to network,2018-01-14 18:57:44,2033,3158,952615735465037825,Munyai Aluwani Allan,allan_munyai,-0.4767
534,0,2020-04-08 21:44:51,0,1248003900625637376,0,Twitter for iPhone,@MatrixModdzPT @_SomeMexicanBoi @AvoidTIMtation No one said Xbox is ahead I’m well aware Xbox was behind. PlayStati… https://t.co/zPB4d0y2s4,2018-09-13 04:37:56,14,176,1040097222682193920,Nanopie,Nanopie2,-0.0258
539,0,2020-04-08 21:42:14,0,1248003243789213698,0,Twitter for Android,"@deadtingfest They let apps utilize their battery so much hence it gets low early.

An Xr will last a day and a Sam… https://t.co/zMUJtMGAza",2014-07-15 12:40:14,7062,4912,2712596775,I Love Girls With Trobul,OlayinkaSuraj,-0.2732
541,0,2020-04-08 21:42:02,0,1248003193528709120,0,Twitter for Android,"@SamMobiles I just bought s20 plus in India, feeling like cheated for 74,000. I invested this much money even knowi… https://t.co/2iBa1ShSXw",2020-04-08 21:29:52,0,4,1248000056059363329,Sagar Madavi,SagarMa10727062,-0.0772
548,0,2020-04-08 21:37:56,0,1248002162468294657,1,Twitter for iPhone,"@HandmadeHour A bit late, sorry!
https://t.co/fFcQcR1nX8 for iPhone, Samsung and Huawei Cases! Ring Holders also av… https://t.co/Z0H17PuDjv",2019-01-22 22:05:55,47,95,1087833764053565440,Casemill,Casemill_,-0.2225
549,0,2020-04-08 21:37:46,0,1248002119224999938,0,Twitter for Android,@madpiino No. Currently on the A5. Which is worse than phones I had 5 years ago... But have friends with Huawei and… https://t.co/08atZmaBjm,2008-11-28 22:41:50,406,525,17721777,I am Surface Neo 🇧🇪❤️🏴󠁧󠁢󠁳󠁣󠁴󠁿,jaymelbe,-0.296
